genres,title,price,id,developer,release_year
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,761140,Kotoshiro,2018
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,0.0,643980,Secret Level SRL,2018
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,0.0,670290,Poolians.com,2017
"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,767400,彼岸领域,2017
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,3.99,772540,Trickjump Games Ltd,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,9.99,774276,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,774277,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,774278,Poppermost Productions,2018
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380,Stegalosaurus Game Development,2018
"['Casual', 'Indie']",Beach Rules,3.99,768880,Copperpick Studio,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,765320,Ghulam Jewel,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,1.5899999999999999,773650,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,774271,Poppermost Productions,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,1.99,773690,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,59.99,774279,Poppermost Productions,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,768060,Tero Lunkka,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,775880,FrozenPepper,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,775881,FrozenPepper,2017
"['Action', 'Indie']",DinoBlaster,4.99,653960,Casey Labrack,2018
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,9.99,282010,Stainless Games Ltd,1997
['Action'],Half-Life,9.99,70,Valve,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,752360,dev4play,2016
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,766850,ETGgames,2018
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,8.99,754360,The Commander,2018
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,0.99,716110,"lalalaZero,Urbanoff",2018
['Strategy'],Disciples II: Gallean's Return,6.99,1640,Strategy First,2006
['Strategy'],Disciples II: Rise of the Elves,6.99,1630,Strategy First,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,9.99,2400,Outerlight Ltd.,2006
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,7.99,759920,Ultraint,2017
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,603280,TPM.CO SOFT WORKS,2017
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,9.99,753110,Wonderbox Games,2017
"['Action', 'Indie']",Orbitality,9.99,753100,Wonderbox Games,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,764280,Mad Unicorn Games,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,0.99,758550,Emanon Studios,2017
['Action'],Advent Rising,9.99,3800,GlyphX Games,2005
"['Indie', 'Strategy']",DEFCON,9.99,1520,Introversion Software,2006
"['Action', 'Indie', 'RPG']",The Ship: Single Player,9.99,2420,Outerlight Ltd.,2006
"['Indie', 'Simulation']",Garry's Mod,9.99,4000,Facepunch Studios,2006
['Racing'],RACE - The WTCC Game,39.99,4230,SimBin,2006
"['Casual', 'Indie']",Zen of Sudoku,0.0,4900,Unknown Worlds Entertainment,2006
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,4.99,2520,"CINEMAX, s.r.o.",2006
['Strategy'],Ghost Master®,4.99,6200,Sick Puppies,2003
['Strategy'],Vegas: Make It Big™,4.99,6210,Deepred,2006
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,19.99,6300,Funcom,2006
['Racing'],FlatOut 2™,9.99,2990,Bugbear Entertainment,2006
['Racing'],FlatOut,7.49,6220,Bugbear Entertainment,2005
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,14.99,6510,"CAPCOM Co., Ltd.",2007
['Strategy'],CivCity: Rome,9.99,3980,"FireFly Studios,Firaxis Games",2006
['RPG'],Arx Fatalis,4.99,1700,Arkane Studios,2002
"['Action', 'Adventure', 'RPG']",The Longest Journey,9.99,6310,Funcom,2000
['Strategy'],Civilization IV®: Warlords,4.99,3990,Firaxis Games,2006
['Strategy'],Railroad Tycoon 3,9.99,7610,PopTop,2003
['Strategy'],Sid Meier's Railroads!,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006
['Strategy'],Railroad Tycoon II Platinum,4.99,7620,PopTop,1998
"['Casual', 'Indie']",RIP - Trilogy™,4.99,2540,Elephant Games,2007
['Strategy'],X-COM: Terror From the Deep,4.99,7650,"MicroProse Software, Inc",1995
"['Action', 'Adventure']",Tomb Raider: Anniversary,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
['Action'],Devil May Cry® 3 Special Edition,19.99,6550,"CAPCOM Co., Ltd.",2006
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,19.99,8200,Telltale Games,2006
['Action'],Final DOOM,4.99,2290,id Software,1996
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,19.99,8210,Telltale Games,2006
['Action'],Ultimate Doom,4.99,2280,id Software,1995
['Action'],Master Levels for Doom II,14.99,9160,id Software,1995
['Action'],DOOM II,4.99,2300,id Software,1994
['Action'],Wolfenstein 3D,4.99,2270,id Software,1994
['Action'],Return to Castle Wolfenstein,4.99,9010,Gray Matter Studios,2001
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040,Ritual Entertainment,1997
['Action'],Spear of Destiny,2.99,9000,id Software,1993
['Action'],BloodRayne,9.99,3810,Terminal Reality,2003
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030,Rogue Entertainment,2007
['Action'],QUAKE,4.99,2310,id Software,2007
['Strategy'],Genesis Rising,4.99,3230,Metamorf,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310,Relic Entertainment,2006
"['Action', 'RPG']",BioShock™,19.99,7670,"2K Boston,2K Australia",2007
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,Relic Entertainment,2006
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,Relic Entertainment,2006
['Strategy'],Rome: Total War™ - Collection,9.99,4760,The Creative Assembly,2004
['Strategy'],Rome: Total War™ - Alexander,4.99,4770,The Creative Assembly,2006
['Casual'],Mystery Case Files: Madame Fate®,6.99,50970,Big Fish Games,2007
['Action'],Manhunt,9.99,12130,Rockstar North,2004
['Racing'],Midnight Club 2,9.99,12160,Rockstar San Diego,2003
['Action'],Max Payne 2: The Fall of Max Payne,9.99,12150,Remedy Entertainment,2003
"['Action', 'Adventure']",Tomb Raider: Legend,6.99,7000,Crystal Dynamics,2006
['Action'],Max Payne,9.99,12140,Remedy Entertainment,2001
['Strategy'],Command &amp; Conquer: Red Alert 3,19.99,17480,EA Los Angeles,2008
['Casual'],PuzzleQuest: Challenge of the Warlords,9.99,12500,Infinite Interactive,2007
"['RPG', 'Casual', 'Adventure']",Culpa Innata,9.99,12310,Momentum Digital Media Technologies,2007
['Strategy'],Prison Tycoon 3™: Lockdown,9.99,12510,"Gamebryo,Virtual Playground",2007
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,9.99,12530,SCS Software,2007
['Racing'],18 Wheels of Steel: American Long Haul,9.99,12520,SCS Software,2007
['Action'],Conflict: Denied Ops,5.99,8100,Pivotal Games,2008
['Action'],ARMA: Combat Operations,7.99,2780,Bohemia Interactive,2007
['Simulation'],Tycoon City: New York,9.99,9730,Unknown,2006
['Action'],Desperados 2: Cooper's Revenge,9.99,9710,Spellbound,2006
"['Action', 'Adventure']",Death to Spies,4.99,9800,Haggard Games,2007
['Action'],Act of War: High Treason,2.99,9760,Eugen Systems,2006
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,19.99,2700,"Frontier,Aspyr (Mac)",2006
['Action'],Act of War: Direct Action,2.99,2710,Eugen Systems,2005
['Action'],Unreal 2: The Awakening,14.99,13200,"Epic Games, Inc.",2003
['Action'],Unreal Gold,9.99,13250,"Epic Games, Inc.",1998
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,4.99,13000,Sanzaru Games,2008
['Action'],Tom Clancy's Splinter Cell®,9.99,13560,Ubisoft,2003
['Action'],Far Cry®,9.99,13520,Crytek Studios,2004
['Action'],Unreal Tournament: Game of the Year Edition,9.99,13240,"Epic Games, Inc.",2000
['Action'],Tom Clancy's Rainbow Six® Vegas,9.99,13540,Ubisoft Montreal,2006
['Simulation'],Silent Hunter® III,9.99,15210,Ubisoft,2005
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,9.99,16180,Last Day of Work,2008
['Casual'],Mystery P.I.™ - The Vegas Heist,4.99,3520,SpinTop Games,2008
['Casual'],Luxor,9.99,15970,MumboJumbo,2008
['Casual'],Reaxxion,9.99,15950,MumboJumbo,2008
['Casual'],Little Farm,9.99,15960,MumboJumbo,2008
['Casual'],7 Wonders II,9.99,15900,MumboJumbo,2008
['Casual'],Luxor Amun Rising,9.99,15910,MumboJumbo,2005
['Casual'],Luxor 3,9.99,15930,MumboJumbo,2007
['Simulation'],Petz® Horsez® 2,9.99,15160,Ubisoft,2007
['Casual'],Luxor 2,9.99,15920,MumboJumbo,2005
"['Action', 'Adventure']",Rayman Raving Rabbids™,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
['Simulation'],Silent Hunter®: Wolves of the Pacific,9.99,15200,Ubisoft Romania,2007
['Simulation'],IL-2 Sturmovik: 1946,9.99,15320,1C: Maddox Games,2006
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240,Ubisoft Romania,2008
['Adventure'],Bone: Out From Boneville,9.99,8310,Telltale Games,2005
['Racing'],Midnight Outlaw: 6 Hours to SunUp,9.99,12600,"Merscom,Babylon",2005
['Adventure'],Bone: The Great Cow Race,9.99,8320,Telltale Games,2006
['Racing'],Sprint Cars Road to Knoxville,9.99,12590,BigAnt Studios,2008
['Simulation'],Ride! Carnival Tycoon,9.99,12560,Gabriel Entertainment,2007
['Casual'],Mahjongg Investigations: Under Suspicion,9.99,12540,Zemnott,2007
['Adventure'],Dracula Origin,9.99,11050,Frogwares,2008
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,9.99,11040,Frogwares,2008
"['Adventure', 'Indie']",Eternity's Child,4.99,19500,"Luc Bernard,SilverSphereStudios",2008
"['Simulation', 'Strategy']",Pacific Storm Allies,7.99,11260,Lesta Studio,2007
"['Action', 'Indie']",Tank Universal,4.99,19200,Dialogue Design,2008
['Racing'],FlatOut: Ultimate Carnage,19.99,12360,Bugbear Entertainment,2008
['Adventure'],Oddworld: Abe's Exoddus®,2.99,15710,Oddworld Inhabitants,1998
['Adventure'],Oddworld: Abe's Oddysee®,2.99,15700,Oddworld Inhabitants,1997
['Racing'],GTR Evolution Expansion Pack for RACE 07,7.99,8660,SimBin,2008
['Strategy'],X-COM: Enforcer,4.99,7770,"MicroProse Software, Inc",2001
['Strategy'],X-COM: Apocalypse,4.99,7660,"MicroProse Software, Inc",1997
['Strategy'],X-COM: UFO Defense,4.99,7760,"MicroProse Software, Inc",1993
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,9.99,20510,GSC Game World,2008
['Action'],Crysis Warhead®,19.99,17330,Crytek,2008
['Action'],Crysis,19.99,17300,Crytek,2007
['Strategy'],X-COM: Interceptor,4.99,7730,"MicroProse Software, Inc",1998
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,9.99,20900,CD PROJEKT RED,2008
['Indie'],Multiwinia,9.99,1530,Introversion Software,2008
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690,SimBin,2008
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2.49,17120,"Tilted Mill Entertainment, Inc.",2008
['Strategy'],Sid Meier's Civilization IV: Colonization,19.99,16810,Firaxis Games,2008
['Action'],Tom Clancy's Rainbow Six® 3 Gold,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",2003
"['Action', 'Adventure']",LEGO Batman,19.99,21000,Traveller's Tales,2008
"['Simulation', 'Strategy']",City Life 2008,9.99,4460,Monte Cristo,2008
"['RPG', 'Strategy']",Hinterland,9.99,17140,"Tilted Mill Entertainment, Inc.",2008
['Action'],Brothers in Arms: Hell's Highway™,9.99,15390,Gearbox Software,2008
"['Indie', 'Casual']",Gravitron 2,4.99,21300,Dark Castle Software,2008
['Racing'],Xpand Rally Xtreme,4.99,3050,Techland,2006
